
[00:00:00.000 --> 00:00:01.130]   Good evening
[00:01:40.130 --> 00:01:41.780]   be honest, it's
[00:01:41.780 --> 00:01:42.720]   where Wesley
[00:01:42.720 --> 00:01:42.920]   and I
[00:01:42.920 --> 00:01:44.360]   worry. I know
[00:01:44.360 --> 00:01:45.640]   we're not alone
[00:01:45.640 --> 00:01:47.130]   and so tonight
[00:01:47.130 --> 00:01:48.350]   the American
[00:01:48.350 --> 00:01:49.880]   family needs to
[00:01:49.880 --> 00:01:50.160]   have
[00:01:50.160 --> 00:01:50.750]   a tough
[00:01:50.750 --> 00:01:51.940]   conversation
[00:01:51.940 --> 00:01:52.920]   because the
[00:01:52.920 --> 00:01:54.060]   truth is we're
[00:01:54.060 --> 00:01:55.060]   all worried
[00:01:55.060 --> 00:01:55.920]   about the
[00:01:55.920 --> 00:01:56.480]   future of
[00:01:56.480 --> 00:01:58.360]   our nation. The
[00:01:58.360 --> 00:01:59.000]   country we know
[00:01:59.000 --> 00:02:00.080]   and love seems
[00:02:00.080 --> 00:02:00.990]   to be slipping
[00:02:00.990 --> 00:02:01.850]   away and it
[00:02:01.850 --> 00:02:01.960]   feels
[00:02:01.960 --> 00:02:02.650]   like the next
[00:02:02.650 --> 00:02:03.540]   generation will
[00:02:03.540 --> 00:02:04.150]   have fewer
[00:02:04.150 --> 00:02:04.940]   opportunities
[00:02:04.940 --> 00:02:05.380]   and less
[00:02:05.380 --> 00:02:06.200]   freedoms than
[00:02:06.200 --> 00:02:06.360]   we
[00:02:06.360 --> 00:02:07.560]   did. I worry my
[00:02:07.560 --> 00:02:08.510]   own children
[00:02:08.510 --> 00:02:09.410]   may not even
[00:02:09.410 --> 00:02:10.390]   get a shot at
[00:02:10.390 --> 00:02:11.440]   living their
[00:02:11.440 --> 00:02:12.200]   American
[00:02:12.200 --> 00:02:14.140]   dreams. My
[00:02:14.140 --> 00:02:14.970]   American dream
[00:02:14.970 --> 00:02:16.250]   allowed me the
[00:02:16.250 --> 00:02:17.630]   daughter of two
[00:02:17.630 --> 00:02:18.490]   small business
[00:02:18.490 --> 00:02:18.840]   owners
[00:02:18.840 --> 00:02:19.540]   from rural
[00:02:19.540 --> 00:02:20.490]   enterprise,
[00:02:20.490 --> 00:02:21.460]   Alabama, to be
[00:02:21.460 --> 00:02:22.440]   elected to the
[00:02:22.440 --> 00:02:23.310]   United States
[00:02:23.310 --> 00:02:24.000]   Senate at
[00:02:24.000 --> 00:02:25.300]   the age of 40.
[00:02:25.300 --> 00:02:26.260]   Growing up
[00:02:26.260 --> 00:02:27.110]   sweeping the
[00:02:27.110 --> 00:02:27.790]   floor at my dad
[00:02:27.790 --> 00:02:28.570]  's hardware
[00:02:28.570 --> 00:02:29.320]   store and
[00:02:29.320 --> 00:02:29.930]   cleaning the
[00:02:29.930 --> 00:02:30.600]   bathroom at my
[00:02:30.600 --> 00:02:31.150]   mom's dance
[00:02:31.150 --> 00:02:32.370]   studio, I never
[00:02:32.370 --> 00:02:33.480]   could have
[00:02:33.480 --> 00:02:34.560]   imagined what
[00:02:34.560 --> 00:02:35.610]   my story would
[00:02:35.610 --> 00:02:36.570]   entail. To
[00:02:36.570 --> 00:02:37.520]   think about
[00:02:37.520 --> 00:02:38.100]   what the
[00:02:38.100 --> 00:02:39.280]   American dream
[00:02:39.280 --> 00:02:40.600]   can do across
[00:02:40.600 --> 00:02:40.880]   to
[00:02:40.880 --> 00:02:41.720]   just one
[00:02:41.720 --> 00:02:43.180]   generation in
[00:02:43.180 --> 00:02:44.020]   just one
[00:02:44.020 --> 00:02:45.730]   lifetime, it's
[00:02:45.730 --> 00:02:46.170]   truly
[00:02:46.170 --> 00:02:47.900]   breathtaking.
[00:02:47.900 --> 00:02:50.840]   But right now,
[00:02:50.840 --> 00:02:52.210]   the American
[00:02:52.210 --> 00:02:53.200]   dream has
[00:02:53.200 --> 00:02:54.750]   turned into a
[00:02:54.750 --> 00:02:56.060]   nightmare for
[00:02:56.060 --> 00:02:56.820]   so many
[00:02:56.820 --> 00:02:58.760]   families. The
[00:02:58.760 --> 00:02:59.160]   true
[00:02:59.160 --> 00:03:00.520]   unvarnished
[00:03:00.520 --> 00:03:01.680]   state of our
[00:03:01.680 --> 00:03:03.000]   union begins
[00:03:03.000 --> 00:03:04.310]   and ends with
[00:03:04.310 --> 00:03:05.910]   this. Our
[00:03:05.910 --> 00:03:07.200]   families are
[00:03:07.200 --> 00:03:09.440]   hurting. Our
[00:03:09.440 --> 00:03:11.440]   country can do
[00:03:11.440 --> 00:03:13.960]   better. And you
[00:03:13.960 --> 00:03:14.760]   don't have to
[00:03:14.760 --> 00:03:15.280]   look any
[00:03:15.280 --> 00:03:16.520]   further than
[00:03:16.520 --> 00:03:17.730]   the crisis at
[00:03:17.730 --> 00:03:18.940]   our southern
[00:03:18.940 --> 00:03:20.160]   border to see
[00:03:20.160 --> 00:03:22.040]   it. President
[00:03:22.040 --> 00:03:24.340]   Biden inherited
[00:03:24.340 --> 00:03:24.760]   the most
[00:03:24.760 --> 00:03:26.060]   secure border
[00:03:26.060 --> 00:03:27.340]   of all time.
[00:03:27.340 --> 00:03:28.910]   But minutes
[00:03:28.910 --> 00:03:29.720]   after taking
[00:03:29.720 --> 00:03:31.480]   office, he
[00:03:31.480 --> 00:03:32.680]   suspended all
[00:03:32.680 --> 00:03:34.020]   deportations.
[00:03:34.020 --> 00:03:34.860]   He halted
[00:03:34.860 --> 00:03:36.190]   construction of
[00:03:36.190 --> 00:03:37.250]   the border wall
[00:03:37.250 --> 00:03:38.080]  , and he
[00:03:38.080 --> 00:03:39.080]   announced a
[00:03:39.080 --> 00:03:39.440]   plan
[00:03:39.440 --> 00:03:40.770]   to give amnesty
[00:03:40.770 --> 00:03:42.290]   to millions. We
[00:03:42.290 --> 00:03:43.490]   know that
[00:03:43.490 --> 00:03:44.550]   President Biden
[00:03:44.550 --> 00:03:45.670]   didn't just
[00:03:45.670 --> 00:03:46.320]   create
[00:03:46.320 --> 00:03:47.640]   this border
[00:03:47.640 --> 00:03:49.080]   crisis. He
[00:03:49.080 --> 00:03:50.800]   invited it with
[00:03:50.800 --> 00:03:52.600]   94 executive
[00:03:52.600 --> 00:03:53.650]   actions in his
[00:03:53.650 --> 00:03:55.080]   first 100
[00:03:55.080 --> 00:03:56.790]   days. When I
[00:03:56.790 --> 00:03:58.640]   took office, I
[00:03:58.640 --> 00:03:59.670]   took a
[00:03:59.670 --> 00:04:00.720]   different
[00:04:00.720 --> 00:04:01.900]   approach. I
[00:04:01.900 --> 00:04:02.560]   traveled to the
[00:04:02.560 --> 00:04:03.650]   Del Rio sector
[00:04:03.650 --> 00:04:05.100]   of Texas. That
[00:04:05.100 --> 00:04:06.100]  's where I spoke
[00:04:06.100 --> 00:04:07.110]   to a woman who
[00:04:07.110 --> 00:04:08.000]   shared her
[00:04:08.000 --> 00:04:08.400]   story
[00:04:08.400 --> 00:04:09.600]   with me. She
[00:04:09.600 --> 00:04:10.600]   had been sex
[00:04:10.600 --> 00:04:11.840]   trafficked by
[00:04:11.840 --> 00:04:12.880]   the cartels
[00:04:12.880 --> 00:04:14.370]   starting at the
[00:04:14.370 --> 00:04:15.880]   age of 12.
[00:04:15.880 --> 00:04:17.320]   She told me not
[00:04:17.320 --> 00:04:18.640]   just that she
[00:04:18.640 --> 00:04:20.200]   was raped every
[00:04:20.200 --> 00:04:21.740]   day, but how
[00:04:21.740 --> 00:04:22.910]   many times a
[00:04:22.910 --> 00:04:24.160]   day she
[00:04:24.160 --> 00:04:26.760]   was raped. The
[00:04:26.760 --> 00:04:28.030]   cartels put her
[00:04:28.030 --> 00:04:29.880]   on a mattress
[00:04:29.880 --> 00:04:31.020]   in a shoebox of
[00:04:31.020 --> 00:04:32.680]   a room, and
[00:04:32.680 --> 00:04:32.960]   they
[00:04:32.960 --> 00:04:34.500]   sent men
[00:04:34.500 --> 00:04:35.890]   through that
[00:04:35.890 --> 00:04:37.680]   door over and
[00:04:37.680 --> 00:04:39.640]   over again for
[00:04:39.640 --> 00:04:41.740]   hours and hours
[00:04:41.740 --> 00:04:44.320]   on end.
[00:04:44.320 --> 00:04:45.430]   We wouldn't be
[00:04:45.430 --> 00:04:46.550]   okay with this
[00:04:46.550 --> 00:04:47.910]   happening in a
[00:04:47.910 --> 00:04:48.680]   third world
[00:04:48.680 --> 00:04:51.080]   country. This
[00:04:51.080 --> 00:04:51.480]   is the
[00:04:51.480 --> 00:04:52.580]   United States
[00:04:52.580 --> 00:04:53.900]   of America, and
[00:04:53.900 --> 00:04:54.850]   it is pastime,
[00:04:54.850 --> 00:04:56.040]   in my opinion,
[00:04:56.040 --> 00:04:57.160]   that we start
[00:04:57.160 --> 00:04:57.640]   acting
[00:04:57.640 --> 00:05:00.240]   like it.
[00:05:00.240 --> 00:05:01.260]   President Biden
[00:05:01.260 --> 00:05:02.340]  's border
[00:05:02.340 --> 00:05:04.140]   policies are a
[00:05:04.140 --> 00:05:06.120]   disgrace. This
[00:05:06.120 --> 00:05:06.960]   crisis is
[00:05:06.960 --> 00:05:08.810]   despicable, and
[00:05:08.810 --> 00:05:09.770]   the truth is it
[00:05:09.770 --> 00:05:10.610]   is almost
[00:05:10.610 --> 00:05:11.480]   entirely
[00:05:11.480 --> 00:05:14.440]   preventable.
[00:05:14.440 --> 00:05:16.840]   From fentanyl
[00:05:16.840 --> 00:05:18.460]   poisonings to
[00:05:18.460 --> 00:05:19.730]   horrific
[00:05:19.730 --> 00:05:21.120]   murders. There
[00:05:21.120 --> 00:05:22.630]   are empty
[00:05:22.630 --> 00:05:24.390]   chairs tonight
[00:05:24.390 --> 00:05:25.240]   at kitchen
[00:05:25.240 --> 00:05:25.760]   tables
[00:05:25.760 --> 00:05:27.500]   just like this
[00:05:27.500 --> 00:05:28.860]   one because of
[00:05:28.860 --> 00:05:30.620]   President Biden
[00:05:30.620 --> 00:05:32.000]  's senseless
[00:05:32.000 --> 00:05:34.790]   border policies
[00:05:34.790 --> 00:05:36.520]  . Just
[00:05:36.520 --> 00:05:37.380]   think about
[00:05:37.380 --> 00:05:38.670]   Lake and Riley.
[00:05:38.670 --> 00:05:39.060]   In my
[00:05:39.060 --> 00:05:40.100]   neighboring
[00:05:40.100 --> 00:05:40.570]   state of
[00:05:40.570 --> 00:05:41.760]   Georgia, this
[00:05:41.760 --> 00:05:42.840]   beautiful
[00:05:42.840 --> 00:05:44.200]   22-year-old
[00:05:44.200 --> 00:05:45.480]   nursing student
[00:05:45.480 --> 00:05:46.380]   went out on a
[00:05:46.380 --> 00:05:47.560]   jog one morning
[00:05:47.560 --> 00:05:49.410]  , but she never
[00:05:49.410 --> 00:05:50.560]   got the
[00:05:50.560 --> 00:05:51.850]   opportunity to
[00:05:51.850 --> 00:05:53.130]   return home.
[00:05:53.130 --> 00:05:53.730]   She was
[00:05:53.730 --> 00:05:54.520]   brutally
[00:05:54.520 --> 00:05:55.810]   murdered by one
[00:05:55.810 --> 00:05:57.000]   of the millions
[00:05:57.000 --> 00:05:58.090]   of illegal
[00:05:58.090 --> 00:05:59.960]   border crossers
[00:05:59.960 --> 00:06:01.490]   President Biden
[00:06:01.490 --> 00:06:02.730]   chose to
[00:06:02.730 --> 00:06:03.720]   release into
[00:06:03.720 --> 00:06:05.600]   our homeland.
[00:06:05.600 --> 00:06:07.370]   "Yo, as a mom,
[00:06:07.370 --> 00:06:09.130]   I can't quit
[00:06:09.130 --> 00:06:10.540]   thinking about
[00:06:10.540 --> 00:06:12.340]   this. I mean
[00:06:12.340 --> 00:06:13.120]   this could have
[00:06:13.120 --> 00:06:13.840]   been my
[00:06:13.840 --> 00:06:15.820]   daughter. This
[00:06:15.820 --> 00:06:17.530]   could have been
[00:06:17.530 --> 00:06:19.080]   yours. And
[00:06:19.080 --> 00:06:20.630]   tonight
[00:06:20.630 --> 00:06:22.680]   President Biden
[00:06:22.680 --> 00:06:23.800]   finally said
[00:06:23.800 --> 00:06:24.950]   her name, but
[00:06:24.950 --> 00:06:26.000]   he refused to
[00:06:26.000 --> 00:06:26.380]   take
[00:06:26.380 --> 00:06:27.730]   responsibility
[00:06:27.730 --> 00:06:28.660]   for his own
[00:06:28.660 --> 00:06:29.600]   actions.
[00:06:29.600 --> 00:06:31.980]   Mr. President,
[00:06:31.980 --> 00:06:32.520]   enough is
[00:06:32.520 --> 00:06:33.650]   enough.
[00:06:33.650 --> 00:06:34.810]   Innocent
[00:06:34.810 --> 00:06:36.130]   Americans are
[00:06:36.130 --> 00:06:37.760]   dying, and you
[00:06:37.760 --> 00:06:38.840]   only have
[00:06:38.840 --> 00:06:40.000]   yourself to
[00:06:40.000 --> 00:06:41.860]   blame. Fulfill
[00:06:41.860 --> 00:06:43.030]   your oath of
[00:06:43.030 --> 00:06:44.760]   office, reverse
[00:06:44.760 --> 00:06:46.080]   your policies,
[00:06:46.080 --> 00:06:47.360]   end this
[00:06:47.360 --> 00:06:49.830]   crisis and stop
[00:06:49.830 --> 00:06:52.720]   the suffering.
[00:06:52.720 --> 00:06:54.720]   Sadly, we know
[00:06:54.720 --> 00:06:56.770]   that President
[00:06:56.770 --> 00:06:57.080]   Biden's
[00:06:57.080 --> 00:06:57.480]   failures
[00:06:57.480 --> 00:06:58.300]   don't stop
[00:06:58.300 --> 00:06:59.620]   there. His
[00:06:59.620 --> 00:07:00.200]   reckless
[00:07:00.200 --> 00:07:01.260]   spending dug
[00:07:01.260 --> 00:07:02.280]   our economy
[00:07:02.280 --> 00:07:03.320]   into a hole and
[00:07:03.320 --> 00:07:04.000]   sent the
[00:07:04.000 --> 00:07:05.550]   cost of living
[00:07:05.550 --> 00:07:06.510]   through the
[00:07:06.510 --> 00:07:08.200]   roof. We have
[00:07:08.200 --> 00:07:09.060]   the worst
[00:07:09.060 --> 00:07:10.890]   inflation in 40
[00:07:10.890 --> 00:07:12.400]   years and the
[00:07:12.400 --> 00:07:13.570]   highest credit
[00:07:13.570 --> 00:07:14.470]   card debt in
[00:07:14.470 --> 00:07:15.740]   our nation's
[00:07:15.740 --> 00:07:16.850]   history. Let
[00:07:16.850 --> 00:07:18.160]   that sink in.
[00:07:18.160 --> 00:07:19.020]   Hardworking
[00:07:19.020 --> 00:07:19.880]   families are
[00:07:19.880 --> 00:07:20.810]   struggling to
[00:07:20.810 --> 00:07:21.640]   make ends me
[00:07:21.640 --> 00:07:23.920]   today and with
[00:07:23.920 --> 00:07:24.240]   soaring
[00:07:24.240 --> 00:07:25.570]   mortgage rates
[00:07:25.570 --> 00:07:26.700]   and sky-high
[00:07:26.700 --> 00:07:28.060]   childcare costs
[00:07:28.060 --> 00:07:29.240]  . They're also
[00:07:29.240 --> 00:07:30.600]   struggling to
[00:07:30.600 --> 00:07:30.840]   have a
[00:07:30.840 --> 00:07:32.120]   plan for
[00:07:32.120 --> 00:07:35.010]   tomorrow. The
[00:07:35.010 --> 00:07:36.630]   American people
[00:07:36.630 --> 00:07:38.590]   are scraping by
[00:07:38.590 --> 00:07:40.000]   while President
[00:07:40.000 --> 00:07:40.280]   Biden
[00:07:40.280 --> 00:07:41.060]   proudly
[00:07:41.060 --> 00:07:42.530]   proclaims that
[00:07:42.530 --> 00:07:43.970]   "Bidenomics is
[00:07:43.970 --> 00:07:45.740]   working." Good
[00:07:45.740 --> 00:07:47.350]  ness y'all,
[00:07:47.350 --> 00:07:48.240]   bless his heart
[00:07:48.240 --> 00:07:48.240]  .
[00:07:48.240 --> 00:07:53.250]   We know better.
[00:07:53.250 --> 00:07:53.820]   I'll never
[00:07:53.820 --> 00:07:54.650]   forget stopping
[00:07:54.650 --> 00:07:55.010]   at a gas
[00:07:55.010 --> 00:07:55.600]   station in
[00:07:55.600 --> 00:07:56.460]   Chilton County
[00:07:56.460 --> 00:07:57.520]   one evening.
[00:07:57.520 --> 00:07:58.120]   The gentleman
[00:07:58.120 --> 00:07:58.770]   working the
[00:07:58.770 --> 00:07:59.680]   counter told me
[00:07:59.680 --> 00:08:00.440]   that after
[00:08:00.440 --> 00:08:01.890]   retiring, he
[00:08:01.890 --> 00:08:02.660]   had to pick up
[00:08:02.660 --> 00:08:04.100]   a job in his 70
[00:08:04.100 --> 00:08:05.350]  s so that he
[00:08:05.350 --> 00:08:06.300]   didn't have to
[00:08:06.300 --> 00:08:06.480]   choose
[00:08:06.480 --> 00:08:07.510]   between going
[00:08:07.510 --> 00:08:08.630]   hungry or going
[00:08:08.630 --> 00:08:09.520]   without his
[00:08:09.520 --> 00:08:11.350]   medication. He
[00:08:11.350 --> 00:08:12.310]   said, "I did
[00:08:12.310 --> 00:08:12.880]   everything
[00:08:12.880 --> 00:08:13.820]   right. I did
[00:08:13.820 --> 00:08:14.690]   everything I
[00:08:14.690 --> 00:08:15.790]   was told to do.
[00:08:15.790 --> 00:08:16.650]   I worked hard.
[00:08:16.650 --> 00:08:17.440]   I saved. I was
[00:08:17.440 --> 00:08:18.200]   responsible.
[00:08:18.200 --> 00:08:20.950]   He's not alone.
[00:08:20.950 --> 00:08:22.180]   I hear similar
[00:08:22.180 --> 00:08:23.460]   concerns from
[00:08:23.460 --> 00:08:25.150]   fellow parents,
[00:08:25.150 --> 00:08:25.640]   whether I am
[00:08:25.640 --> 00:08:25.920]   walking
[00:08:25.920 --> 00:08:27.070]   with my friends
[00:08:27.070 --> 00:08:28.450]   or whether I'm
[00:08:28.450 --> 00:08:29.260]   at my kids
[00:08:29.260 --> 00:08:31.810]   games." But,
[00:08:31.810 --> 00:08:32.360]   let's be honest
[00:08:32.360 --> 00:08:33.920]  , it's been a
[00:08:33.920 --> 00:08:35.110]   minute since
[00:08:35.110 --> 00:08:36.010]   Joe Biden
[00:08:36.010 --> 00:08:37.470]   pumped gas, ran
[00:08:37.470 --> 00:08:38.760]   a carpool, or
[00:08:38.760 --> 00:08:39.950]   even pushed a
[00:08:39.950 --> 00:08:40.840]   grocery
[00:08:40.840 --> 00:08:42.150]   guard.
[00:08:42.150 --> 00:08:43.300]   Meanwhile, the
[00:08:43.300 --> 00:08:44.570]   rest of us see
[00:08:44.570 --> 00:08:45.730]   our dollar and
[00:08:45.730 --> 00:08:46.620]   we know it
[00:08:46.620 --> 00:08:47.880]   doesn't go as
[00:08:47.880 --> 00:08:48.200]   far.
[00:08:48.200 --> 00:08:50.060]   We see it every
[00:08:50.060 --> 00:08:51.540]   day. And
[00:08:51.540 --> 00:08:53.550]   despite what he
[00:08:53.550 --> 00:08:56.040]   tells you, our
[00:08:56.040 --> 00:08:57.270]   communities are
[00:08:57.270 --> 00:08:59.680]   not safer.
[00:08:59.680 --> 00:09:01.690]   For years, the
[00:09:01.690 --> 00:09:02.930]   left has codd
[00:09:02.930 --> 00:09:04.990]  led criminals
[00:09:04.990 --> 00:09:06.080]   and defunded
[00:09:06.080 --> 00:09:07.880]   the police. All
[00:09:07.880 --> 00:09:08.440]   while
[00:09:08.440 --> 00:09:09.690]   letting repeat
[00:09:09.690 --> 00:09:10.960]   offenders walk
[00:09:10.960 --> 00:09:12.470]   free. The
[00:09:12.470 --> 00:09:13.120]   result is
[00:09:13.120 --> 00:09:14.480]   tragic but
[00:09:14.480 --> 00:09:16.510]   foreseeable.
[00:09:16.510 --> 00:09:16.600]   From
[00:09:16.600 --> 00:09:17.560]   our small towns
[00:09:17.560 --> 00:09:18.370]   to America's
[00:09:18.370 --> 00:09:19.100]   most iconic
[00:09:19.100 --> 00:09:20.630]   city streets,
[00:09:20.630 --> 00:09:22.680]   life is getting
[00:09:22.680 --> 00:09:23.240]   more and
[00:09:23.240 --> 00:09:24.820]   more dangerous.
[00:09:24.820 --> 00:09:26.240]   And
[00:09:26.240 --> 00:09:26.620]   unfortunately,
[00:09:26.620 --> 00:09:27.990]   President Biden
[00:09:27.990 --> 00:09:29.300]  's weakness isn
[00:09:29.300 --> 00:09:30.040]  't just
[00:09:30.040 --> 00:09:30.640]   hurting
[00:09:30.640 --> 00:09:31.710]   families here
[00:09:31.710 --> 00:09:32.780]   at home. He is
[00:09:32.780 --> 00:09:33.530]   making us a
[00:09:33.530 --> 00:09:34.470]   punchline on
[00:09:34.470 --> 00:09:35.590]   the world stage
[00:09:35.590 --> 00:09:35.920]  .
[00:09:35.920 --> 00:09:37.570]   Look, where I'm
[00:09:37.570 --> 00:09:39.050]   from, your word
[00:09:39.050 --> 00:09:40.460]   is your bond.
[00:09:40.460 --> 00:09:41.520]   But for three
[00:09:41.520 --> 00:09:42.500]   years, the
[00:09:42.500 --> 00:09:42.960]   president
[00:09:42.960 --> 00:09:43.570]   hasn't
[00:09:43.570 --> 00:09:44.810]   demonstrated
[00:09:44.810 --> 00:09:46.160]   that America's
[00:09:46.160 --> 00:09:47.270]   word doesn't
[00:09:47.270 --> 00:09:48.290]   mean what it
[00:09:48.290 --> 00:09:50.400]   used to. From
[00:09:50.400 --> 00:09:51.920]   abandoning our
[00:09:51.920 --> 00:09:53.220]   allies in his
[00:09:53.220 --> 00:09:54.400]   disastrous
[00:09:54.400 --> 00:09:56.040]   withdrawal from
[00:09:56.040 --> 00:09:57.920]   Afghanistan, to
[00:09:57.920 --> 00:09:59.400]   desperately
[00:09:59.400 --> 00:10:01.240]   pushing another
[00:10:01.240 --> 00:10:02.660]   dangerous deal
[00:10:02.660 --> 00:10:05.130]   with Iran.
[00:10:05.130 --> 00:10:05.840]   President Biden
[00:10:05.840 --> 00:10:08.240]   has failed.
[00:10:08.240 --> 00:10:09.870]   We've become a
[00:10:09.870 --> 00:10:11.040]   nation in
[00:10:11.040 --> 00:10:13.330]   retreat and the
[00:10:13.330 --> 00:10:13.970]   enemies of
[00:10:13.970 --> 00:10:15.960]   freedom, they
[00:10:15.960 --> 00:10:16.840]   see an
[00:10:16.840 --> 00:10:18.650]   opportunity.
[00:10:18.650 --> 00:10:20.360]   Putin's brutal
[00:10:20.360 --> 00:10:21.890]   aggression in
[00:10:21.890 --> 00:10:23.480]   Europe has put
[00:10:23.480 --> 00:10:24.560]   our allies on
[00:10:24.560 --> 00:10:25.080]   the brink.
[00:10:25.080 --> 00:10:25.980]   Iran's
[00:10:25.980 --> 00:10:26.650]   terrorist
[00:10:26.650 --> 00:10:28.030]   proxies have
[00:10:28.030 --> 00:10:29.080]   slaughtered
[00:10:29.080 --> 00:10:30.360]   Israeli Jews
[00:10:30.360 --> 00:10:31.680]   and American
[00:10:31.680 --> 00:10:32.800]   citizens.
[00:10:32.800 --> 00:10:33.700]   They've
[00:10:33.700 --> 00:10:33.920]   targeted
[00:10:33.920 --> 00:10:34.750]   commercial
[00:10:34.750 --> 00:10:35.390]   shipping and
[00:10:35.390 --> 00:10:36.330]   they've
