
[00:00:00.000 --> 00:00:00.120]  
[00:00:00.120 --> 00:00:00.850]   Good
[00:01:50.750 --> 00:01:51.940]   conversation
[00:01:51.940 --> 00:01:52.660]   because
[00:01:52.660 --> 00:01:52.920]   the
[00:01:52.920 --> 00:01:53.410]   truth
[00:01:53.410 --> 00:01:53.600]   is
[00:01:53.600 --> 00:01:53.790]   we
[00:01:53.790 --> 00:01:54.060]  're
[00:01:54.060 --> 00:01:54.590]   all
[00:01:54.590 --> 00:01:55.060]   worried
[00:01:55.060 --> 00:01:55.610]   about
[00:01:55.610 --> 00:01:55.920]   the
[00:01:55.920 --> 00:01:56.310]   future
[00:01:56.310 --> 00:01:56.480]   of
[00:01:56.480 --> 00:01:56.750]   our
[00:01:56.750 --> 00:01:57.290]   nation
[00:01:57.290 --> 00:01:57.530]  .
[00:01:57.530 --> 00:01:58.360]   The
[00:01:58.360 --> 00:01:58.470]   country
[00:01:58.470 --> 00:01:58.640]   we
[00:01:58.640 --> 00:01:59.000]   know
[00:01:59.000 --> 00:01:59.270]   and
[00:01:59.270 --> 00:01:59.630]   love
[00:01:59.630 --> 00:02:00.080]   seems
[00:02:00.080 --> 00:02:00.320]   to
[00:02:00.320 --> 00:02:00.420]   be
[00:02:00.420 --> 00:02:00.990]   slipping
[00:02:00.990 --> 00:02:01.270]   away
[00:02:01.270 --> 00:02:01.480]   and
[00:02:01.480 --> 00:02:01.850]   it
[00:02:01.850 --> 00:02:01.960]   feels
[00:02:01.960 --> 00:02:02.210]   like
[00:02:02.210 --> 00:02:02.400]   the
[00:02:02.400 --> 00:02:02.650]   next
[00:02:02.650 --> 00:02:03.290]   generation
[00:02:03.290 --> 00:02:03.540]   will
[00:02:03.540 --> 00:02:04.110]   have
[00:02:04.110 --> 00:02:04.150]   fewer
[00:02:04.150 --> 00:02:04.940]   opportunities
[00:02:04.940 --> 00:02:05.130]   and
[00:02:05.130 --> 00:02:05.380]   less
[00:02:05.380 --> 00:02:05.960]   freedoms
[00:02:05.960 --> 00:02:06.200]   than
[00:02:06.200 --> 00:02:06.360]   we
[00:02:06.360 --> 00:02:06.610]   did
[00:02:06.610 --> 00:02:06.800]  .
[00:02:06.800 --> 00:02:07.390]   I
[00:02:07.390 --> 00:02:07.420]   worry
[00:02:07.420 --> 00:02:07.560]   my
[00:02:07.560 --> 00:02:07.820]   own
[00:02:07.820 --> 00:02:08.510]   children
[00:02:08.510 --> 00:02:08.770]   may
[00:02:08.770 --> 00:02:09.030]   not
[00:02:09.030 --> 00:02:09.410]   even
[00:02:09.410 --> 00:02:09.680]   get
[00:02:09.680 --> 00:02:09.720]   a
[00:02:09.720 --> 00:02:10.120]   shot
[00:02:10.120 --> 00:02:10.390]   at
[00:02:10.390 --> 00:02:11.080]   living
[00:02:11.080 --> 00:02:11.440]   their
[00:02:11.440 --> 00:02:12.200]   American
[00:02:12.200 --> 00:02:12.200]  
[00:02:12.200 --> 00:02:12.810]   dreams
[00:02:12.810 --> 00:02:13.220]  .
[00:02:13.220 --> 00:02:14.140]   My
[00:02:14.140 --> 00:02:14.340]   American
[00:02:14.340 --> 00:02:14.970]   dream
[00:02:14.970 --> 00:02:15.690]   allowed
[00:02:15.690 --> 00:02:15.910]   me
[00:02:15.910 --> 00:02:16.250]   the
[00:02:16.250 --> 00:02:17.200]   daughter
[00:02:17.200 --> 00:02:17.370]   of
[00:02:17.370 --> 00:02:17.630]   two
[00:02:17.630 --> 00:02:18.080]   small
[00:02:18.080 --> 00:02:18.490]   business
[00:02:18.490 --> 00:02:18.840]   owners
[00:02:18.840 --> 00:02:19.190]   from
[00:02:19.190 --> 00:02:19.540]   rural
[00:02:19.540 --> 00:02:20.320]   enterprise
[00:02:20.320 --> 00:02:20.490]  ,
[00:02:20.490 --> 00:02:21.010]   Alabama
[00:02:21.010 --> 00:02:21.160]  ,
[00:02:21.160 --> 00:02:21.310]   to
[00:02:21.310 --> 00:02:21.460]   be
[00:02:21.460 --> 00:02:22.000]   elected
[00:02:22.000 --> 00:02:22.150]   to
[00:02:22.150 --> 00:02:22.440]   the
[00:02:22.440 --> 00:02:22.840]   United
[00:02:22.840 --> 00:02:23.310]   States
[00:02:23.310 --> 00:02:23.840]   Senate
[00:02:23.840 --> 00:02:24.000]   at
[00:02:24.000 --> 00:02:24.250]   the
[00:02:24.250 --> 00:02:24.460]   age
[00:02:24.460 --> 00:02:24.600]   of
[00:02:24.600 --> 00:02:25.080]   40
[00:02:25.080 --> 00:02:25.300]  .
[00:02:25.300 --> 00:02:25.850]   Growing
[00:02:25.850 --> 00:02:26.260]   up
[00:02:26.260 --> 00:02:26.640]   sweeping
[00:02:26.640 --> 00:02:27.110]   the
[00:02:27.110 --> 00:02:27.280]   floor
[00:02:27.280 --> 00:02:27.410]   at
[00:02:27.410 --> 00:02:27.600]   my
[00:02:27.600 --> 00:02:27.790]   dad
[00:02:27.790 --> 00:02:27.940]  's
[00:02:27.940 --> 00:02:28.570]   hardware
[00:02:28.570 --> 00:02:29.080]   store
[00:02:29.080 --> 00:02:29.320]   and
[00:02:29.320 --> 00:02:29.770]   cleaning
[00:02:29.770 --> 00:02:29.930]   the
[00:02:29.930 --> 00:02:30.420]   bathroom
[00:02:30.420 --> 00:02:30.490]   at
[00:02:30.490 --> 00:02:30.600]   my
[00:02:30.600 --> 00:02:30.760]   mom
[00:02:30.760 --> 00:02:30.900]  's
[00:02:30.900 --> 00:02:31.150]   dance
[00:02:31.150 --> 00:02:31.480]   studio
[00:02:31.480 --> 00:02:31.640]  ,
[00:02:31.640 --> 00:02:31.760]   I
[00:02:31.760 --> 00:02:32.370]   never
[00:02:32.370 --> 00:02:32.980]   could
[00:02:32.980 --> 00:02:33.480]   have
[00:02:33.480 --> 00:02:34.300]   imagined
[00:02:34.300 --> 00:02:34.560]   what
[00:02:34.560 --> 00:02:34.730]   my
[00:02:34.730 --> 00:02:35.170]   story
[00:02:35.170 --> 00:02:35.610]   would
[00:02:35.610 --> 00:02:36.130]   entail
[00:02:36.130 --> 00:02:36.280]  .
[00:02:36.280 --> 00:02:36.570]   To
[00:02:36.570 --> 00:02:37.260]   think
[00:02:37.260 --> 00:02:37.520]   about
[00:02:37.520 --> 00:02:37.830]   what
[00:02:37.830 --> 00:02:38.100]   the
[00:02:38.100 --> 00:02:38.770]   American
[00:02:38.770 --> 00:02:39.280]   dream
[00:02:39.280 --> 00:02:39.480]   can
[00:02:39.480 --> 00:02:39.720]   do
[00:02:39.720 --> 00:02:40.600]   across
[00:02:40.600 --> 00:02:40.880]   to
[00:02:40.880 --> 00:02:40.880]  
[00:02:40.880 --> 00:02:41.420]   just
[00:02:41.420 --> 00:02:41.720]   one
[00:02:41.720 --> 00:02:42.940]   generation
[00:02:42.940 --> 00:02:43.180]   in
[00:02:43.180 --> 00:02:43.660]   just
[00:02:43.660 --> 00:02:44.020]   one
[00:02:44.020 --> 00:02:44.990]   lifetime
[00:02:44.990 --> 00:02:45.260]  ,
[00:02:45.260 --> 00:02:45.480]   it
[00:02:45.480 --> 00:02:45.730]  's
[00:02:45.730 --> 00:02:46.170]   truly
[00:02:46.170 --> 00:02:47.360]   breathtaking
[00:02:47.360 --> 00:02:47.900]  .
[00:02:47.900 --> 00:02:50.090]   But
[00:02:50.090 --> 00:02:50.240]   right
[00:02:50.240 --> 00:02:50.840]   now
[00:02:50.840 --> 00:02:50.840]  ,
[00:02:50.840 --> 00:02:51.790]   the
[00:02:51.790 --> 00:02:52.210]   American
[00:02:52.210 --> 00:02:52.830]   dream
[00:02:52.830 --> 00:02:53.200]   has
[00:02:53.200 --> 00:02:53.950]   turned
[00:02:53.950 --> 00:02:54.380]   into
[00:02:54.380 --> 00:02:54.750]   a
[00:02:54.750 --> 00:02:55.770]   nightmare
[00:02:55.770 --> 00:02:56.060]   for
[00:02:56.060 --> 00:02:56.370]   so
[00:02:56.370 --> 00:02:56.820]   many
[00:02:56.820 --> 00:02:57.760]   families
[00:02:57.760 --> 00:02:58.660]  .
[00:02:58.660 --> 00:02:58.760]   The
[00:02:58.760 --> 00:02:59.160]   true
[00:02:59.160 --> 00:02:59.330]   un
[00:02:59.330 --> 00:02:59.660]  v
[00:02:59.660 --> 00:02:59.880]  arn
[00:02:59.880 --> 00:03:00.520]  ished
[00:03:00.520 --> 00:03:01.140]   state
[00:03:01.140 --> 00:03:01.320]   of
[00:03:01.320 --> 00:03:01.680]   our
[00:03:01.680 --> 00:03:02.640]   union
[00:03:02.640 --> 00:03:03.000]   begins
[00:03:03.000 --> 00:03:03.360]   and
[00:03:03.360 --> 00:03:03.830]   ends
[00:03:03.830 --> 00:03:04.310]   with
[00:03:04.310 --> 00:03:04.800]   this
[00:03:04.800 --> 00:03:05.020]  .
[00:03:05.020 --> 00:03:05.910]   Our
[00:03:05.910 --> 00:03:06.920]   families
[00:03:06.920 --> 00:03:07.200]   are
[00:03:07.200 --> 00:03:07.570]  
[00:03:07.570 --> 00:03:08.310]   hurting
[00:03:08.310 --> 00:03:09.400]  .
[00:03:09.400 --> 00:03:09.440]   Our
[00:03:09.440 --> 00:03:10.980]   country
[00:03:10.980 --> 00:03:11.100]   can
[00:03:11.100 --> 00:03:11.440]   do
[00:03:11.440 --> 00:03:12.480]   better
[00:03:12.480 --> 00:03:13.510]  .
[00:03:13.510 --> 00:03:13.740]   And
[00:03:13.740 --> 00:03:13.960]   you
[00:03:13.960 --> 00:03:14.320]   don
[00:03:14.320 --> 00:03:14.370]  't
[00:03:14.370 --> 00:03:14.610]   have
[00:03:14.610 --> 00:03:14.760]   to
[00:03:14.760 --> 00:03:15.050]   look
[00:03:15.050 --> 00:03:15.280]   any
[00:03:15.280 --> 00:03:15.840]   further
[00:03:15.840 --> 00:03:16.520]   than
[00:03:16.520 --> 00:03:16.860]   the
[00:03:16.860 --> 00:03:17.580]   crisis
[00:03:17.580 --> 00:03:17.730]   at
[00:03:17.730 --> 00:03:18.060]   our
[00:03:18.060 --> 00:03:18.940]   southern
[00:03:18.940 --> 00:03:19.600]   border
[00:03:19.600 --> 00:03:19.820]   to
[00:03:19.820 --> 00:03:20.160]   see
[00:03:20.160 --> 00:03:20.340]   it
[00:03:20.340 --> 00:03:21.310]  .
[00:03:21.310 --> 00:03:22.040]   President
[00:03:22.040 --> 00:03:22.790]   Biden
[00:03:22.790 --> 00:03:24.340]   inherited
[00:03:24.340 --> 00:03:24.400]   the
[00:03:24.400 --> 00:03:24.760]   most
[00:03:24.760 --> 00:03:25.470]   secure
[00:03:25.470 --> 00:03:26.060]   border
[00:03:26.060 --> 00:03:26.270]   of
[00:03:26.270 --> 00:03:26.630]   all
[00:03:26.630 --> 00:03:27.050]   time
[00:03:27.050 --> 00:03:27.340]  .
[00:03:27.340 --> 00:03:27.660]   But
[00:03:27.660 --> 00:03:28.910]   minutes
[00:03:28.910 --> 00:03:28.960]   after
[00:03:28.960 --> 00:03:29.720]   taking
[00:03:29.720 --> 00:03:30.260]   office
[00:03:30.260 --> 00:03:30.540]  ,
[00:03:30.540 --> 00:03:31.480]   he
[00:03:31.480 --> 00:03:32.400]   suspended
[00:03:32.400 --> 00:03:32.680]   all
[00:03:32.680 --> 00:03:32.680]  
[00:03:32.680 --> 00:03:33.250]   deport
[00:03:33.250 --> 00:03:33.770]  ations
[00:03:33.770 --> 00:03:34.020]  .
[00:03:34.020 --> 00:03:34.520]   He
[00:03:34.520 --> 00:03:34.860]   halted
[00:03:34.860 --> 00:03:35.980]   construction
[00:03:35.980 --> 00:03:36.190]   of
[00:03:36.190 --> 00:03:36.470]   the
[00:03:36.470 --> 00:03:37.040]   border
[00:03:37.040 --> 00:03:37.250]   wall
[00:03:37.250 --> 00:03:37.890]  ,
[00:03:37.890 --> 00:03:37.890]   and
[00:03:37.890 --> 00:03:38.080]   he
[00:03:38.080 --> 00:03:38.950]   announced
[00:03:38.950 --> 00:03:39.080]   a
[00:03:39.080 --> 00:03:39.440]   plan
[00:03:39.440 --> 00:03:39.660]   to
[00:03:39.660 --> 00:03:40.100]   give
[00:03:40.100 --> 00:03:40.770]   amnesty
[00:03:40.770 --> 00:03:41.190]   to
[00:03:41.190 --> 00:03:41.790]   millions
[00:03:41.790 --> 00:03:42.100]  .
[00:03:42.100 --> 00:03:42.290]   We
[00:03:42.290 --> 00:03:42.440]   know
[00:03:42.440 --> 00:03:43.490]   that
[00:03:43.490 --> 00:03:44.050]   President
[00:03:44.050 --> 00:03:44.550]   Biden
[00:03:44.550 --> 00:03:45.020]   didn
[00:03:45.020 --> 00:03:45.240]  't
[00:03:45.240 --> 00:03:45.670]   just
[00:03:45.670 --> 00:03:46.320]   create
[00:03:46.320 --> 00:03:46.850]   this
[00:03:46.850 --> 00:03:47.640]   border
[00:03:47.640 --> 00:03:48.820]   crisis
[00:03:48.820 --> 00:03:48.840]  .
[00:03:48.840 --> 00:03:49.080]   He
[00:03:49.080 --> 00:03:49.950]   invited
[00:03:49.950 --> 00:03:50.380]   it
[00:03:50.380 --> 00:03:50.800]   with
[00:03:50.800 --> 00:03:51.640]   94
[00:03:51.640 --> 00:03:52.600]   executive
[00:03:52.600 --> 00:03:53.220]   actions
[00:03:53.220 --> 00:03:53.450]   in
[00:03:53.450 --> 00:03:53.650]   his
[00:03:53.650 --> 00:03:54.120]   first
[00:03:54.120 --> 00:03:55.080]   100
[00:03:55.080 --> 00:03:55.080]  
[00:03:55.080 --> 00:03:55.650]   days
[00:03:55.650 --> 00:03:55.970]  .
[00:03:55.970 --> 00:03:56.650]   When
